穴名,部位代碼,部位,身體分區,穴號,取穴定位,針法,主治關鍵字,董楊思維,備註,穴位圖,詳細筆記,頁碼
通關穴,八八,八八部位,腿內側穴位,圖8-3,在大腿正中線之股骨上，距膝蓋橫紋上五寸。；當大腿正中線之股骨上，距膝蓋橫紋上五寸處是穴。；在大腿正中線，從膝蓋上緣起 算五寸。,針深三分至五分。,心臟病，心包絡（心口）痛，心兩側痛，心臟性之風溼病，頭暈，眼花，心跳，胃病，四肢痛，腦貧血,通關、通山並用，善治乳部病變， 如乳部纖維增生等。,,images/圖8-3_通關穴.jpg,notes/通關穴.md,103
通山穴,八八,八八部位,腿內側穴位,圖8-4,在通關穴直上二寸。；當大腿正中線之股骨上，距通關穴上二寸處是穴。；在大腿正中線，從膝蓋上緣起 算七寸。,針深五分至八分。,同通關穴,通關、通山、通天三穴為治療心臟病及血液迴圈要穴，通關、通山夾胃經伏兔穴，伏兔穴為脈絡之會（見《針灸大成》），經絡（均隸屬胃經)相同，部位毗鄰，因此效果近似。 通關、通山並用，善治乳部病變，如乳部纖維增生等。胃經循經經過乳部，胃經多血多氣，且兩穴夾伏兔脈絡之會，善治心臟，亦善治胸乳部病變，效同炙甘草湯。![](images/f733881f1f63f11be4b26c1f4f28947e377ce9…,,images/圖8-4_通山穴.jpg,notes/通山穴.md,103
通天穴,八八,八八部位,腿內側穴位,圖8-5,在通關穴直上四寸。；當大腿正中線之股骨上，距通關穴直 上四寸處是穴。；在大腿正中線，從膝蓋上緣起算九寸。,針深五分至一寸。,同通關穴,①下肢浮腫；②胃病；③妊娠嘔吐；④手指痛、丹毒、腿風溼無力。 通天穴單用治膝蓋痛。,通關、通山、通天三穴不能雙足六穴 同時下針，僅能各取一穴至二穴下針，高血壓者 雙足只許各取一穴。,images/圖8-5_通天穴.jpg,notes/通天穴.md,194
姐妹一穴,八八,八八部位,腿內側穴位,圖8-6,在通山穴向內橫開一寸後向上一寸。；當通山穴向內側橫開一寸再直上一 寸處是穴。；在通山穴向內橫開一寸後向 上一寸。在通腎穴直線上，在通背穴穴上四寸。 圖8-6 姐妹一穴 195,針一寸至二寸半。,,尚能治赤白帶。,,images/圖8-6_姐妹一穴.jpg,notes/姐妹一穴.md,195
姐妹二穴,八八,八八部位,腿內側穴位,圖8-7,在姐妹一穴直上二寸半。；當姐妹一穴直上二寸半處是穴。；在姐妹一穴（通山穴向內橫開 一寸後，向上一寸）直上二寸半。通腎穴直線上。,針一寸半至二寸半。,同姐妹一穴,尚能治赤白帶。,,images/圖8-7_姐妹二穴.jpg,notes/姐妹二穴.md,196
姐妹三穴,八八,八八部位,腿內側穴位,圖8-8,在姐妹二穴直上二寸半。；在姐妹二穴直上二寸半處是穴。；在姐妹二穴直上二寸半。通 腎穴直線上。,針深一寸半至二寸半。 196 運用：姐妹一、二、三穴兩腿六穴通常同時 取穴下針。,同姐妹一穴,尚能治赤白帶、腸痛、胃出血。,,images/圖8-8_姐妹三穴.jpg,notes/姐妹三穴.md,196
感冒一穴,八八,八八部位,腿內側穴位,圖8-9,在姐妹二穴向裡橫開一寸。；當姐妹二穴向裡橫開一寸處是穴。；在姐妹二穴向裡橫開一寸。即膝內緣上十寸半（通背穴上六 寸半），往內一寸。,針深八分至寸半。,重感冒，發高燒，發冷，感冒頭痛,,,images/圖8-9_感冒一穴.jpg,notes/感冒一穴.md,199
感冒二穴,八八,八八部位,腿內側穴位,圖8-10,在姐妹三穴向裡橫開一寸。；當姐妹三穴向裡橫開一寸，亦即感冒 一穴直上二寸半處是穴。；在姐妹三穴向裡橫開一寸。 即感冒一穴直上二寸半處是穴。,針深八分至寸半。 運用：感冒一、感冒二穴同時取穴，針向腿 中心斜刺。,重感冒，發高燒，發冷，感冒頭痛,感冒穴對感冒確能收到減輕症狀之效，當年嘗見老師經常取用（由於三十多年前皆系隔衣進針，當時並無不便）。穴在大腿上部對應上焦肺。且肉多走陽分、走表分，故善治感冒。但位於大腿上部，取穴略有不便。 近二十年來餘皆以三叉三穴配大白或土水中穴治療，療效極佳，不遜於感冒一二穴，且取穴方便。![](images/c254193b38bf90d85d8b81dfe874b5772062e0481d508996acb…,,images/圖8-10_感冒二穴.jpg,notes/感冒二穴.md,199
通腎穴,八八,八八部位,腿內側穴位,圖8-11,在膝蓋內側上緣。；當膝蓋內側上緣之陷處是穴。；在膝蓋內側上緣。基本在脾 經上。,針深三分至五分。,陽痿，早洩，淋病，腎臟炎，糖尿病，腎虧之頭暈腰痛，腎臟性之風溼病，子宮痛，婦科赤白帶下,口乾、喉痛、喉瘤。,,images/圖8-11_通腎穴.jpg,notes/通腎穴.md,199
通胃穴,八八,八八部位,腿內側穴位,圖8-12,在通腎穴上二寸。；在膝蓋內側上緣之上二寸，即通腎穴 之上二寸處是穴。；在膝蓋內側上緣之上二寸，即 通腎穴之上二寸處，基本在脾經上。,針深五分至一寸。,同通腎穴，又治背痛,這裡的背痛應是胃痛。 原理及發揮見通背穴。![](images/fedad3958936ce4d63aa12311e071f9b070dee6ea346056c1cd9007195908eec.jpg),,images/圖8-12_通胃穴.jpg,notes/通胃穴.md,200
通背穴,八八,八八部位,腿內側穴位,圖8-13,在通腎穴之上四寸。；在通腎穴直上四寸，即通胃穴直上二寸處是穴。；在通腎穴直上四寸，即通胃穴 直上二寸處是穴。,針深五分至一寸。 運用：通腎、通胃、通背三穴可任取二穴（兩腿四穴）配針，禁忌三穴同時下 針。通腎、通胃、通背三穴可任取一穴為治療其他各症之補針。通腎、通胃、通背 三穴可任取一穴為治療婦人流產之補針，連續治療半月即無流產之虞。,同通腎穴，又治背痛,①通腎、通胃、通背三穴配合應 用治臉浮腫、全身浮腫、四肢浮腫、腳背紅腫。 三穴治水腫甚效。②三穴治療肩峰痛亦極有 效。③對於尿蛋白亦甚效。,,images/圖8-13_通背穴.jpg,notes/通背穴.md,200
明黃穴,八八,八八部位,腿內側穴位,圖8-14,在大腿內側之正中央。；當大腿內側之中央點是穴。,針深一寸半至二寸半。,肝硬化，肝炎，骨骼脹大，脊椎長芽骨（脊椎骨膜炎），肝機能不夠引起之疲勞，腰痠，眼昏，眼痛，肝痛，消化不良，白血球症（特效）,頸椎骨刺、腰椎骨刺，梅尼埃病 （重症性頭暈）、帕金森病、舞蹈病，治血液病效果 極佳，如白細胞過多、再生障礙性貧血、齒衄、鼻 衄等。,,images/圖8-14_明黃穴.jpg,notes/明黃穴.md,202
天黃穴,八八,八八部位,腿內側穴位,圖8-15,在明黃穴上三寸。；當明黃穴直上三寸處是穴。；在大腿內側之正中央上三寸。,針深一寸五分至二寸五分。 202 圖 8-15 天黃穴,同明黃穴,頸椎骨刺、腰椎骨刺，梅尼埃病（重症性頭暈）、帕金森病、舞蹈 病，治血液病效果極佳，如白細胞過多、再生障礙性貧血、齒衄、鼻衄等。,,images/圖8-15_天黃穴.jpg,notes/天黃穴.md,202
其黃穴,八八,八八部位,腿內側穴位,圖8-16,在明黃穴直下三寸。；當明黃穴直下三寸處是穴。,針深一寸五分至二寸。 運用：天黃、明黃、其黃三穴同時取穴下針主治肝炎、肝硬化、骨骼脹大、肝機 能不夠引起之各症，脾硬化、舌瘡。 203,黃疸病及明黃穴主治各症,頸椎骨刺、腰椎骨刺，梅尼埃病 （重症性頭暈）、帕金森病、舞蹈病，治血液病效果 極佳，如白細胞過多、再生障礙性貧血、齒衄、鼻 衄等。,,images/圖8-16_其黃穴.jpg,notes/其黃穴.md,203
火枝穴,八八,八八部位,腿內側穴位,圖8-17,在其黃穴上一寸半。；當其黃穴直上一寸五分處是穴。；在其黃穴上一寸半，在明黃穴與 其黃穴中間點取穴。,針深一寸五分至二寸。 運用：明黃、火枝、其黃三穴同時下針治黃疸 病、膽炎。,黃疸病，黃疸病之頭暈，眼花及背痛，膽炎,,,images/圖8-17_火枝穴.jpg,notes/火枝穴.md,205
火全穴,八八,八八部位,腿內側穴位,圖8-18,在其黃穴直下一寸五分。,針深一寸五分至二寸。 運用：火全穴配合其黃、火枝穴下針，亦可治黃疸病、膽炎及膽結石止痛。火 全穴單獨取穴治脊椎骨及足跟痛。,,火枝、火全配腎關可治癲癇。,,images/圖8-18_火全穴.jpg,notes/火全穴.md,205
駟馬中穴,八八,八八部位,腿內側穴位,圖8-19,直立、兩手下垂，中指尖所至之處向前橫開三寸。；直立，兩手下垂，中指尖所至之處向前橫開三寸處是穴。；直立，兩手下垂，中指尖所至之處向前橫開三寸。,針深八分至二寸五分。,肋痛，背痛，肺機能不夠之坐骨神經痛及腰痛，肺弱，肺病，胸部被打擊後而引起之胸背痛，肋膜炎，鼻炎，耳聾，耳鳴，耳炎，面部神經麻痺，眼發紅，哮喘，半身不遂，牛皮癬，皮膚病,乳房疼特效，肌萎縮、重聽、甲狀腺腫、眼球突出、雀斑、青春痘，治 下肢扭傷。,,images/圖8-19_駟馬中穴.jpg,notes/駟馬中穴.md,206
駟馬上穴,八八,八八部位,腿內側穴位,圖8-20,在駟馬中穴直上二寸。；當駟馬中穴直上二寸處是穴。；駟馬上穴位於駟馬中穴直上兩寸處。,針深八分至二寸五分。,同駟馬中穴,乳房疼特效，肌萎縮、重聽、甲狀腺腫、眼球突出、雀斑、青春痘，治 207 圖 8-20 駟馬上穴 下肢扭傷。,,images/圖8-20_駟馬上穴.jpg,notes/駟馬上穴.md,207
駟馬下穴,八八,八八部位,腿內側穴位,圖8-21,在駟馬中穴直下二寸處是穴。,針深八分至二寸五分。 運用：治肋痛、背痛、坐骨神經痛單足取上、中、下三穴，其餘各症兩腳六針同 時取之。,同駟馬中穴,乳房疼特效，肌萎縮、重聽、甲狀腺腫、眼球突出、雀斑、青春痘，治 下肢扭傷。 208,,images/圖8-21_駟馬下穴.jpg,notes/駟馬下穴.md,208
下泉穴,八八,八八部位,腿內側穴位,圖8-22,在膝關節外側面正中央直上二寸五分。；在膝關節外側面正中央直上二寸半處是穴。,針深三分至五分。,面部麻痺，面部神經跳，口歪，眼斜,,,images/圖8-22_下泉穴.jpg,notes/下泉穴.md,209
中泉穴,八八,八八部位,腿內側穴位,圖8-23,在下泉穴之直上二寸。；當下泉穴直上二寸處是穴。；在下泉穴之直上二寸。在膝關節外側面正中央直上四寸 五分。 210 • 圖8-23 中泉穴,針深三分至八分。,同下泉穴,,,images/圖8-23_中泉穴.jpg,notes/中泉穴.md,210
上泉穴,八八,八八部位,腿內側穴位,圖8-24,在中泉穴之直上二寸。；當中泉穴直上二寸處是穴。；在中泉穴之直上二寸。膝關節外側面正中央直六點五寸，與七 裡只差0.5寸。,針深五分至一寸。 運用：上泉、中泉、下泉三穴單腳同時取穴下針。治左用右穴；治右用左穴。,同下泉穴,上泉、中泉、下泉三穴合稱三泉穴，位於膽經線上，治顏面神經麻痺及顏面神經震顫有卓效，治耳鳴、重聽亦有效。 三穴皆在膽經上，以祛風為主，主治上述各病皆與風有關。,,images/圖8-24_上泉穴.jpg,notes/上泉穴.md,211
金前下穴,八八,八八部位,腿內側穴位,圖8-25,在膝蓋骨外上角之直上一寸。；在膝蓋骨外側上角之直上一寸處 是穴。,針深三分至五分。,,,,images/圖8-25_金前下穴.jpg,notes/金前下穴.md,213
金前上穴,八八,八八部位,腿內側穴位,圖8-26,在金前下穴直上一寸半。；在膝蓋骨外側上角上二寸五分處是穴。；在金前下穴直上一寸半。在 膝蓋骨外側上角上二寸五分處是穴。,針深五分至一寸。 運用：金前上下兩穴雙腳同時配穴下針。,同金前下穴,這裡提到的羊角風就是癲癇，另外胸骨外突就是雞胸。 穴名金，與肺有關，能治肺病。在膝上一寸之筋旁，筋亦與肝應，故治肝風之病。,,images/圖8-26_金前上穴.jpg,notes/金前上穴.md,213
中九里穴,八八,八八部位,腿內側穴位,圖8-27,在大腿外側中央線之中點。；當大腿外側中央線之中點 是穴。；當大腿外側中央線之中 點是穴。一般以直立，中指尖所到之處 是穴。,針深一寸至二寸。,,對人體側面之耳神經痛、 圖 8-27 中九里穴 口歪眼斜、太陽穴痛、偏頭痛、三叉神經痛等皆有療效。對於身體側面（尤其是 膽經）各種病變尤為特效。尚能治耳鳴及風疹瘙癢，亦極有效。亦為治失眠之 要穴。,,images/圖8-27_中九里穴.jpg,notes/中九里穴.md,213
內通關穴,八八,八八部位,腿內側穴位,圖8-31,在通關穴向內橫開五分。；當通關穴向內橫開五分處是穴。；在通關穴向大腿內側橫開五 分，是穴。,針深三分至五分。,半身不遂，四肢無力，四肢神經麻痺，心臟衰弱，中風不語，腰痛，手不能舉,,,images/圖8-31_內通關穴.jpg,notes/內通關穴.md,217
內通山穴,八八,八八部位,腿內側穴位,圖8-32,在通山穴向內橫開五分。；當通山穴向內橫開五分處是穴。；在通山穴向大腿內側橫開五 分，是穴。,針深五分至八分。,,,,images/圖8-32_內通山穴.jpg,notes/內通山穴.md,220
內通天穴,八八,八八部位,腿內側穴位,圖8-33,在通天穴向內橫開五分。；當通天穴向內橫開五分處是穴。；在通天穴向大腿內側橫開五 分，是穴。,針深五分至二寸。 注意事項：見通關、通山、通天穴各條。,同內通關穴,,,images/圖8-33_內通天穴.jpg,notes/內通天穴.md,220
失音穴,八八,八八部位,腿內側穴位,圖8-34,在膝蓋內側之中央點及其下二寸。；當膝蓋內側之中央點一穴，其下二寸處一穴，共二穴。；在膝蓋內側之中央點及其下二 寸。當膝蓋內側之中央點一穴，其下二寸處一 穴，共二穴。,針深三分至五分。,嗓子啞，失音，喉炎,治療扁桃體炎、甲狀腺腫大、喉嚨 腫痛亦有療效。,,images/圖8-34_失音穴.jpg,notes/失音穴.md,220
姐妹穴,八八,八八部位,腿內側穴位,,在通山穴向內橫開一寸後向上一寸。；針法：針一寸至二寸半。,,子宮瘤，子宮炎，月經不調，經期不定，子宮癢，腸痛，胃出血,【維傑新用】尚能治赤白帶。,,,notes/姐妹穴.md,
全穴,八八,八八部位,腿內側穴位,,在其黃穴直下一寸五分。；針法：針深一寸五分至二寸。；運用：火全穴配合其黃、火枝穴下針，亦可治黃疸病、膽炎及膽結石止痛。火全穴單獨取穴治脊椎骨及足跟痛。,,同火枝穴，並治脊椎骨痛及足跟痛,【維傑新用】火枝、火全配腎關可治癲癇。 火全、其黃、火枝三穴治上述各病確有特效，有時為了取穴方便，目前治膽囊病變常多以面部之木枝穴取代。或以外側對應之九里、七里穴代替，餘則常用下白穴配合木枝穴或陽陵泉下的膽囊穴。 火全、火枝在其黃上下，亦在肝經上，屬肝之分支，肝膽表裡相屬，治膽病有效。,,,notes/全穴.md,
前下穴,八八,八八部位,腿內側穴位,,在膝蓋骨外上角之直上一寸。；針法：針深三分至五分。,,胸骨外鼓，肺弱，羊角風，頭痛，肝弱，皮膚敏感,,,,notes/前下穴.md,
中九穴,八八,八八部位,腿內側穴位,,在大腿外側中央線之中點。；針法：針深一寸至二寸。,,背痛，腰痛，腰脊椎骨痛，半身不遂，神經麻痺，脖頸痛，頭暈，眼脹，手麻，臂麻，腿痛，神經無力,【維傑新用】對人體側面之耳神經痛、 本穴與膽經之風市穴位置相符，為極常用之鎮痛及鎮定要穴（疏風作用極強)。 本穴除上述治證外，對耳神經痛、口歪眼斜、太陽穴痛、偏頭痛、三叉神經痛等亦有療效。本穴之主治極多，對於身體側面（尤其是膽經)各種病變尤為特效；應用時可配合七里穴（即膽經中瀆穴）倒馬，效果更佳。,,,notes/中九穴.md,
解穴,八八,八八部位,腿內側穴位,,在膝蓋骨外側上角直上一寸，向前橫開三分。；針法：針深三分至五分。；運用：下針後將針緩緩轉動，病痛解除即取針；留針時間以八分鐘為限。如患者暈針不省人事，即將其口張開，以扁針、筷子、湯匙或手指按其舌根，稍用力重壓三下，見其欲嘔吐時，以涼水洗其頭，並以溼毛巾覆蓋其頭部，令飲涼開水半杯即蘇；受刑休克者亦可用此法解之。如患霍亂引起休克，可用涼水洗頭，使其恢復知覺，然後用針藥治之。,,扎針後氣血錯亂，血不歸經，下針處起包，疼痛，或是西醫注射後引起之疼痛，跌打損傷，精神刺激而引起之疼痛，疲勞過度之疼痛,"【維傑新用】解穴治療新發初患之各種疼痛，療效極佳，尤其是各種新得之扭傷，尤具卓效。 解穴治療上述各證確有特效,留針時間並不以八分鐘為限。 本穴在胃經郄穴梁丘旁下，調理氣血作用甚強，因此能解暈針、滯針、彎針，解氣血錯亂，解新急之痛。效理同梁丘類近。![](images/1874cfdf0d42856156d6a4511132ee8c73a546f7205c045c99183d60fb8a71b1.j…",,images/noref_解穴.jpg,notes/解穴.md,
內通穴,八八,八八部位,腿內側穴位,,在通山穴向內橫開五分。；針法：針深五分至八分。,,同內通關穴,,,,notes/內通穴.md,
耳環穴,九九,九九部位,耳朵穴位,圖9-2,在耳垂表面之中央。；當耳垂表面之中央點 是穴。；在耳垂表面之中 央，正當耳垂掛耳環之處。,用細毫針由外向裡（向面 部）斜刺一分至二分半（皮下針）。,解酒，止嘔吐,本穴相當於耳穴眼點，眼與肝應，強肝而能解酒。解酒之理與火包穴類近。 治酒醉配合素髎穴同用，效果更佳。,,images/圖9-2_耳環穴.jpg,notes/耳環穴.md,22
木耳穴,九九,九九部位,耳朵穴位,圖9-3,在耳後上半部橫血管之下約三分。；當耳後上半部橫血管之下約三分處是穴。；在耳背耳甲軟骨上。,用細毫針豎刺一分至二分。,肝痛，肝硬化，肝腫大，肝衰弱引起之疲勞，久年淋病（需長期針治）,本穴在耳背耳甲軟骨上，反面之範圍為肝區、肝炎區、肝硬化區，故能治療肝痛、肝硬化、肝腫大、肝衰弱引起之疲勞。 本穴還可治療淋病，淋病等泌尿系統病常用肝經的行間穴治療，此與肝經繞陰部一週有關。![](images/c95ef4345bc196131b99ca317a5888a858366bf088d4ef2df032862c0c177244.jpg)<details><summary>natural_…,,images/圖9-3_木耳穴.jpg,notes/木耳穴.md,222
火耳穴,九九,九九部位,耳朵穴位,圖9-4,在對耳輪之外緣中部。 主治；心臟衰弱及膝蓋痛、四肢痛。 222 圖9-4 火耳穴；在對耳輪之外緣中部取之。；位於耳輪雙腳之彙集處，有耳甲軟骨。,用細毫針豎刺一至二分。,,火耳穴相當於耳針之膝點，但治療範圍更為泛。 此一範圍鄰近神門區，又董師認為能治膝痛者，即能治心，此穴故稱之火耳。,,images/圖9-4_火耳穴.jpg,notes/火耳穴.md,222
士耳穴,九九,九九部位,耳朵穴位,圖9-5,在耳甲腔部之中。；在耳甲腔之中取之。；在耳甲腔部之中， 相當於耳針之脾區。,用細毫針豎刺一至二分。,,,,images/圖9-5_士耳穴.jpg,notes/士耳穴.md,23
金耳穴,九九,九九部位,耳朵穴位,圖9-6,在耳殼背之外緣上端。；在耳殼背之外緣上端取之。,用細毫針豎刺一至二分。,肺衰弱之坐骨神經痛，腰脊椎骨彎曲，過敏性感冒,金耳穴相當於耳針之肺區。 本穴相當於耳針之肺區，故治感冒。膀胱經自頭頂下於耳上緣，故能治腰痛、脊椎痛、坐骨神經痛。![](images/8bdfd1b01cc9d434ba9313b9b8a81b9622033435fe9ce7968a45f3b8829c92ed.jpg),,images/圖9-6_金耳穴.jpg,notes/金耳穴.md,224
水耳穴,九九,九九部位,耳朵穴位,圖9-7,在對耳輪之外緣下端。；在對耳輪之外緣下端取之。；在對耳輪之外緣下 端，亦即耳垂之上外緣。,用細毫針豎刺一至二分。,腎虧，腰部兩邊痛，腹部發脹,穴同耳穴之腎炎點，能治與腎有關之病。![](images/76b988f4dc3ab024eea1b5047260f1a4a5d142ee60bab0ebade1d2d0757a3030.jpg)<details><summary>natural_image</summary>Close-up of a human ear with visible redness and a small blac…,,images/圖9-7_水耳穴.jpg,notes/水耳穴.md,225
。耳背穴,九九,九九部位,耳朵穴位,圖9-8,在木耳穴之上約三分處血管中取之。；在耳尖下的耳背處。,以三稜針扎出血。,,治皮膚病、青春痘、面部黃褐斑、 偏頭痛、張口不靈、扁桃體炎、結膜炎極有效。,,images/圖9-8_。耳背穴.jpg,notes/。耳背穴.md,226
土耳穴,九九,九九部位,耳朵穴位,,在耳甲腔部之中。；針法：用細毫針豎刺一至二分。,,神經衰弱，紅血球過多，發高燒，糖尿病,土耳穴相當於耳針之脾區。 穴同耳穴之脾區，能治與脾相關之病。如神經衰弱、紅細胞過多、發高燒、糖尿病等。![](images/fdee815f0291ee3ff6372494af3405509674b4fe1c9ac25cfef2f7cb9f8e1b52.jpg),,,notes/土耳穴.md,
耳背穴,九九,九九部位,耳朵穴位,,在耳輪之外緣。；針法：以三稜針扎出血。,,喉炎，喉蛾,【維傑新用】治皮膚病、青春痘、面部黃褐斑、偏頭痛、張口不靈、扁桃體炎、結膜炎極有效。 耳背穴相當於耳針之上耳背處。 本點為點刺要穴，老師僅用以治療喉炎、喉蛾。治療喉炎、喉蛾，系本穴部位偏上，全息對應肺，又膀胱經行至耳尖、耳背處，膀胱與肺通。,,,notes/耳背穴.md,
正會穴,十十,十十部位,頭面部穴位,圖10-5,在頭頂之正中央。；正坐，以細繩豎放頭頂中 行，前垂鼻尖，後垂頸骨正中，另以一 繩橫放頭頂，左右各垂耳尖，此兩繩在 頭頂之交叉點是穴。；即百會穴，在頭頂之 正中央。正坐，以細繩豎放頭頂中行，前垂鼻尖，後垂頸骨正中，另以一繩橫放頭 項，左右各垂耳尖，此兩繩在頭頂之交叉點是穴。,針深一分至三分。,四肢顫抖，各種風症，身體虛弱，小兒驚風，眼斜嘴歪，半身不遂，神經失靈，中風不語,回陽固脫、平肝息風，能治療昏厥、休克、精神分裂症、癲癇發作、 舞蹈病、大腦發育不良、神經衰弱、癔病、心悸、怔忡、失眠、健忘、脫肛、久洩、崩漏 下血、月經過多、子宮下垂、胃下垂、小 尿床、足底痛、頭痛、眩暈及高血壓。,,images/圖10-5_正會穴.jpg,notes/正會穴.md,233
州圓穴,十十,十十部位,頭面部穴位,圖10-6,在正會穴旁開一寸三分。；當正會穴向右及左旁開一寸三分處是穴（左右各一穴）。；當正會穴向右及左 旁開一寸三分處是穴（左右各一穴）。,針深一分至三分。 234,半身不遂，四肢無力，虛弱，氣喘，肺機能不夠引起之坐骨神經痛及背痛，神經失靈,本穴在正會穴旁邊，旁開一寸三分與一寸五分處取穴差別不大，屬區位取穴。 原理：見“州侖”穴之解說。,,images/圖10-6_州圓穴.jpg,notes/州圓穴.md,234
州昆穴,十十,十十部位,頭面部穴位,圖10-7,在州圓穴直後一寸五分。；當州圓穴直後一寸五分處 是穴。；在州圓穴直後一寸五分。 維傑新州昆穴：本穴當州圓穴直後一寸五分處是穴，同於膀胱經之絡卻穴。,一分至三分深。,半身不遂，四肢無力，虛弱，氣喘，肺機能不夠引起之坐骨神經痛及背痛，神經失靈,本穴位置與膀胱經之絡卻相符。 原理：見“州侖”穴之解說。![](images/7fe6785ec5013f163997a51cb8d996f11e2fa9352628ba0b19b5c5e090ec148e.jpg),,images/圖10-7_州昆穴.jpg,notes/州昆穴.md,235
州侖穴,十十,十十部位,頭面部穴位,圖10-8,在州圓穴直前一寸五分。；當州圓穴直前一寸五分處 是穴。；當州圓穴直前一寸 圖10-8 州侖穴 五分處是穴。 維傑新州侖穴：定位於膀胱經，州圓穴與通天穴位相符，則本穴位置與膀胱 經之承光穴相符。,針深一分至三分。 運用：左腦生瘤取右穴；右取 左穴。,腦瘤及州圓穴主治各症,,,images/圖10-8_州侖穴.jpg,notes/州侖穴.md,236
前會穴,十十,十十部位,頭面部穴位,圖10-9,在正會穴前一寸五分。；當正會穴直前一寸五分處 是穴。；當正會穴直前一寸 五分處是穴。與督脈之前頂穴相符。,針深一分至三分。 運用：本穴對不省人事之病患有 使其復甦之效。,頭昏，眼花，腦脹，神經衰弱,,,images/圖10-9_前會穴.jpg,notes/前會穴.md,237
後會穴,十十,十十部位,頭面部穴位,圖10-10,在正會穴直後一寸六分。；當正會穴直後一寸六分處是穴。；實際取穴在正會穴直後 一寸五分。與督脈之後頂穴位置相符。,針深一分至三分。,骨結核，頭痛（輕度），頭暈，脊椎骨痛（對第十九至廿一椎最有效），腦充血，中風不語，半身不遂，神經麻痺,,,images/圖10-10_後會穴.jpg,notes/後會穴.md,237
總樞穴,十十,十十部位,頭面部穴位,圖10-11,在頭部入髮際八分。；當頭部入髮際八分處是穴。；在頭部人髮際八分。,針深一分至二分，用三稜針最 有效，尤其小兒。,嘔吐，六不安，項痛，心臟衰弱，霍亂，發言無聲,以維傑新總樞穴為主，可治療梅尼埃病、中風後吞嚥困難、中風後 腿腳無力，皆甚效，以點刺為準。 解說與發揮： 1.本穴人髮際八分，介於督脈之風府穴與啞門之間。一說即督脈之風府 穴。但 風府據書載，則系人髮際一寸，在此處二分之差別意義不大，餘則在風 府、啞門中間取穴。 2. 治療上述各症以三稜針點刺確有特效。以廿六號針施治效果亦佳，唯不 宜刺人太深。餘則以驗血糖之採血片刺血，既簡單又安全，而且有效。 3…,對本穴，一般針深禁止超過三 分，但失音者可針深至三分，使其發音恢 復正常。用三稜針出血時，應用手將本 穴之肌肉捏起，而後刺之。,images/圖10-11_總樞穴.jpg,notes/總樞穴.md,238
鎮靜穴,十十,十十部位,頭面部穴位,圖10-12,在兩眉頭之間正中之上三分。；當兩眉頭之間正中之上三分處是穴。；在兩眉頭之間正中之上 三分。皮下橫針由上往下扎三分。 維傑新鎮靜穴：當兩眉頭之間正中， 針刺時從兩眉頭間稍上橫針穿過鎮靜穴。,針深一分至二分，由上往下扎（即皮下針）。 運用：本穴應與正會穴配針，才有療效。,神經錯亂，四肢發抖，兩腿痠軟，四肢神經麻痺，失眠，小兒夢驚,亦能治胸滿煩驚、睡臥 不安。,,images/圖10-12_鎮靜穴.jpg,notes/鎮靜穴.md,240
上裡穴,十十,十十部位,頭面部穴位,圖10-13,在眉頭上二分。；當眉頭之上二分處是穴。；當眉頭之上二分處是穴。 維傑新上裡穴：正當眉頭上，與攢竹穴相符，針刺時皮下橫針，從眉頭之上二 分處向下針。 手術：皮下針，針深一分至二分。,皮下針，針深一分至二分。,,亦治呃逆、腰痛。 解說與發揮： 1. 本穴位置原定於眉頭上二分，即 在膀胱經之攢竹穴上二分，餘調整為與膀 胱經之攢竹穴相符，攢竹本即系治頭昏、 頭痛要穴。 2. 亦治呃逆，蓋正象全息位於上中 焦分野線之膈處。 3. 治腰痛甚佳，蓋倒象全息位於中 下焦分野線。 4. 上述疾病以採血片刺之尤佳。,,images/圖10-13_上裡穴.jpg,notes/上裡穴.md,240
四腑二穴,十十,十十部位,頭面部穴位,圖10-14,在眉毛之中央上二分。；當眉中央之直上二分處是穴。；在眉毛之中央稍上。,皮下針，針深一分至二分。,小腹脹，眼昏，頭痛,,,images/圖10-14_四腑二穴.jpg,notes/四腑二穴.md,41
四腑一穴,十十,十十部位,頭面部穴位,圖10-15,在眉尖之上二分。；當眉尖之上二分處取之。；在眉尖之稍上。,皮下針，針深一分至二分。 運用：四腑一、四腑二及上裡三穴用三稜針同扎出血，為治臨時頭痛之特 效針。,,,,images/圖10-15_四腑一穴.jpg,notes/四腑一穴.md,243
正本穴,十十,十十部位,頭面部穴位,圖10-16,鼻端。；仰臥正坐均可，頭稍仰起，於鼻之尖端以手摸之左右各有小軟骨，中有 （242 陷凹處是穴位。；在鼻之尖端以手摸之左 右各有小軟骨，中有陷凹處是穴位。實即 督脈之素膠。取穴時仰臥或正坐，頭稍仰 起，於鼻之尖端中取之。以手摸之左右各 圖10-16 正本穴 有小軟骨，中有凹陷是穴，注意勿刺軟骨。斜刺，針尖從鼻尖端斜向上刺入1~3 分。常有酸脹感，流眼淚。,針深一分至二分。,敏感性鼻炎，妖邪(鬼迷),能治酒醉。點刺能治酒渣鼻、鼻黏膜肥大、鼻塞等。,勿刺傷軟骨。 運用：用三稜針出血最有效。腦力衰 退及肺弱者，可針本穴補之。 說明：本穴即督脈之“素膠”穴。,images/圖10-16_正本穴.jpg,notes/正本穴.md,243
